Wall time,Step,Value
1639845628.8707807,266,-30.920398712158203
1639845650.846262,267,-35.07324981689453
1639845672.0656898,268,-60.01974868774414
1639845693.8275218,269,-62.73875045776367
1639845715.4948416,270,-42.709251403808594
1639845737.1777475,271,-60.80024719238281
1639845758.4232793,272,-54.48849868774414
1639845779.5380714,273,-64.81024932861328
1639845801.1844037,274,-48.25199890136719
1639845822.6830974,275,-63.55550003051758
1639845844.5403404,276,-56.74524688720703
1639845869.0122657,277,-46.93000030517578
1639845892.4254117,278,-57.686248779296875
1639845916.420071,279,-64.54949951171875
1639845939.8398714,280,-70.01649475097656
1639845964.455404,281,-31.257598876953125
1639845986.8854473,282,-38.20750045776367
1639846009.8315103,283,-43.95649719238281
1639846032.9786747,284,-76.13700103759766
1639846057.1701903,285,-32.99250030517578
1639846079.854274,286,-43.028602600097656
1639846102.9334536,287,-48.941253662109375
1639846126.4891665,288,-67.18800354003906
1639846150.1589122,289,-50.003501892089844
1639846174.2556055,290,-38.58449935913086
1639846197.533638,291,-30.494001388549805
1639846221.225582,292,-38.08374786376953
1639846243.8962593,293,-62.08550262451172
1639846265.9673524,294,-49.147003173828125
1639846287.7645836,295,-90.41424560546875
1639846310.7393634,296,-86.38899993896484
1639846332.6378505,297,-64.47374725341797
1639846355.0728242,298,-58.428001403808594
1639846377.6730158,299,-52.426002502441406
1639846400.5859883,300,-60.23249816894531
1639846424.8621218,301,-66.75650024414062
1639846447.2955706,302,-62.165496826171875
1639846469.4749477,303,-65.94375610351562
1639846491.8788455,304,-53.54399871826172
1639846514.2097378,305,-36.154998779296875
1639846536.1997354,306,-64.62950134277344
1639846557.6413176,307,-69.3177490234375
1639846579.8200784,308,-36.752601623535156
1639846601.6818757,309,-69.5574951171875
1639846623.6242807,310,-39.641998291015625
1639846645.9428368,311,-57.322998046875
1639846667.886319,312,-72.48600006103516
1639846689.1095617,313,-59.09700012207031
1639846711.3477957,314,-47.65599822998047
1639846733.9699273,315,-44.441749572753906
1639846755.5947638,316,-71.14324951171875
1639846778.109576,317,-60.57324981689453
1639846799.2374618,318,-68.22999572753906
1639846821.1468573,319,-70.59324645996094
1639846843.1920528,320,-70.6832504272461
1639846865.1580298,321,-56.97200012207031
1639846887.3065362,322,-59.24024963378906
1639846908.9035404,323,-70.2762451171875
